ds,y
2019/10/6,5287.59588
2019/10/7,5965.05
2019/10/8,5343.6474
2019/10/9,6224.4
2019/10/10,5882.76024
2019/10/11,5810.8897
2019/10/12,4957.04566
2019/10/13,4861.062752
2019/10/14,5324.8944
2019/10/15,5133.51006
2019/10/16,2409.681498
2019/10/17,2346.268827
2019/10/18,2282.856156
2019/10/19,2351.44
2019/10/20,2532.32
2019/10/21,5687.799264
2019/10/22,5798.8
2019/10/23,2351.44
2019/10/24,2705.22
2019/10/25,2610.451116
2019/10/26,2848.86
2019/10/27,2351.44
2019/10/28,2687.590983
2019/10/29,5136.521712
2019/10/30,5342.61
2019/10/31,6384
2019/11/1,6118
2019/11/2,2554.93
2019/11/3,2511.04
2019/11/4,2705.22
2019/11/5,2394
2019/11/6,3128.16
2019/11/7,3165.4
2019/11/8,2553.6
2019/11/9,6224.4
2019/11/10,5861.31
2019/11/11,2468.48
2019/11/12,2213.12
2019/11/13,2489.76
2019/11/14,2511.04
2019/11/15,2872.8
2019/11/16,2513.7
2019/11/17,2207.401
2019/11/18,2213.12
2019/11/19,2319.52
2019/11/20,2468.48
2019/11/21,2853.124512
2019/11/22,2643.506936
2019/11/23,2552.27
2019/11/24,2537.64
2019/11/25,2729.16
2019/11/26,2527
2019/11/27,2521.204924
2019/11/28,3289.566805
2019/11/29,3044.37
2019/11/30,2824.92
2019/12/1,2779.7
2019/12/2,2820.93
2019/12/3,3323.67
2019/12/4,2504.566092
2019/12/5,2323.707505
2019/12/6,2532.32
2019/12/7,2404.64
2019/12/8,2705.22
2019/12/9,2577.54
2019/12/10,2800.98
2019/12/11,2585.52
2019/12/12,2754.43
2019/12/13,2754.43
2019/12/14,3103.994964
2019/12/15,2560.935216
2019/12/16,2328.860457
2019/12/17,2893.552256
2019/12/18,2594.219264
2019/12/19,3313.38245
2019/12/20,3160.08
2019/12/21,2881.633727
2019/12/22,3548.44
2019/12/23,2609.46
2019/12/24,2403.302818
2019/12/25,2191.84
2019/12/26,2489.76
2019/12/27,2489.76
2019/12/28,2830.24
2019/12/29,2779.7
2019/12/30,2926
2019/12/31,2960.58
2020/1/1,3597.8096
2020/1/2,3247.61246
2020/1/3,3196.5885
2020/1/4,2766.5064
2020/1/5,3455.872
2020/1/6,3214.344
2020/1/7,3074.8536
2020/1/8,3190.7232
2020/1/9,3686.76
2020/1/10,3653.244
2020/1/11,3827.208
2020/1/12,3436.7865
2020/1/13,3374.909261
2020/1/14,3694.075
2020/1/15,2878.9313
2020/1/16,2875.992
2020/1/17,2818.909198
2020/1/18,2895.7824
2020/1/19,2870.406
2020/1/20,2818.2168
2020/1/21,2733.2032
2020/1/22,3559.3992
2020/1/23,3277.12
2020/1/24,3276.12658
2020/1/25,3134.3312
2020/1/26,3864.9534
2020/1/27,3974.2528
2020/1/28,3836.567201
2020/1/29,3526.4418
2020/1/30,3072.3
2020/1/31,3126.286695
2020/2/1,2458.955705
2020/2/2,6832.937244
2020/2/3,5918.635128
2020/2/4,3058.701282
2020/2/5,2760.2288
2020/2/6,2937.4912
2020/2/7,2507.900668
2020/2/8,2458.319598
2020/2/9,2930.256
2020/2/10,3024.819
2020/2/11,2767.597489
2020/2/12,2982.126
2020/2/13,3172.217005
2020/2/14,2963.0937
2020/2/15,3676.6121
2020/2/16,3775.689439
2020/2/17,3435.7092
2020/2/18,3189.34
2020/2/19,3264.352
2020/2/20,3044.37
2020/2/21,2791.419385
2020/2/22,5462.412809
2020/2/23,4276.461944
2020/2/24,2584.104827
2020/2/25,3575.224162
2020/2/26,3501.276072
2020/2/27,2967.2034
2020/2/28,2681.28
2020/2/29,3656.037
2020/3/1,3379.53
2020/3/2,3692.6253
2020/3/3,3234.298873
2020/3/4,5440.192632
2020/3/5,2899.484242
2020/3/6,2187.036133
2020/3/7,2811.005689
2020/3/8,2425.763592
2020/3/9,2627.608794
2020/3/10,2539.217181
2020/3/11,2932.7431
2020/3/12,2675.154605
2020/3/13,2858.373025
2020/3/14,2538.837
2020/3/15,2466.2988
2020/3/16,2603.3154
2020/3/17,3167.5945
2020/3/18,3098.368
2020/3/19,3085.6
2020/3/20,6046.510239
2020/3/21,3108.049283
2020/3/22,2759.106801
2020/3/23,3400.0785
2020/3/24,2710.939
2020/3/25,3506.47584
2020/3/26,5639.634538
2020/3/27,3330.08858
2020/3/28,2539.5552
2020/3/29,3123.372
2020/3/30,3225.7155
2020/3/31,2668.862182
2020/4/1,3041.4972
2020/4/2,3339.272336
2020/4/3,2428.402908
2020/4/4,3170.307168
2020/4/5,2478.812983
2020/4/6,2459.671809
2020/4/7,2911.2636
2020/4/8,2582.9664
2020/4/9,2740.245178
2020/4/10,2397.7905
2020/4/11,2840.481
2020/4/12,3013.4608
2020/4/13,2926.86071
2020/4/14,2838.3264
2020/4/15,3255.84
2020/4/16,2511.971
2020/4/17,6755.703585
2020/4/18,2481.8864
2020/4/19,2645.200026
2020/4/20,2323.776
2020/4/21,2763.6336
2020/4/22,2500.8256
2020/4/23,2234.4
2020/4/24,2409.3216
2020/4/25,2652.153
2020/4/26,2577.54
2020/4/27,7344.792
2020/4/28,6618.612
2020/4/29,6445.3662
2020/4/30,6595.897462
2020/5/1,2404.385438
2020/5/2,6246.744
2020/5/3,2571.4752
2020/5/4,2191.84
2020/5/5,7090.496
2020/5/6,5960.560425
2020/5/7,7041.04128
2020/5/8,2675.2152
2020/5/9,6160.5999
2020/5/10,6625.794
2020/5/11,6281.6565
2020/5/12,5811.6744
2020/5/13,6168.4735
2020/5/14,5783.1592
2020/5/15,5930.2971
2020/5/16,5322.0615
2020/5/17,6566.1568
2020/5/18,5822.5272
2020/5/19,6038.5192
2020/5/20,6386.2344
2020/5/21,5128.9056
2020/5/22,5467.231
2020/5/23,5660.48
2020/5/24,5839.3916
2020/5/25,5619.0372
2020/5/26,6383.388916
2020/5/27,5969.282592
2020/5/28,5205.62
2020/5/29,6031.368322
2020/5/30,5496.0388
2020/5/31,4883.76
2020/6/1,5175.429
2020/6/2,5633.5608
2020/6/3,5785.8192
2020/6/4,5636.4336
2020/6/5,6222.4848
2020/6/6,5634.754448
2020/6/7,5730.587226
2020/6/8,5761.56
2020/6/9,6214.965379
2020/6/10,5952.4416
2020/6/11,5766.9066
2020/6/12,5167.05
2020/6/13,5678.169
2020/6/14,6005.5884
2020/6/15,5496.0388
2020/6/16,6403.152
2020/6/17,5597.2917
2020/6/18,5356.3356
2020/6/19,5156.350368
2020/6/20,5410.875841
2020/6/21,5762.8368
2020/6/22,6084.351
2020/6/23,4974.2
2020/6/24,5770.0188
2020/6/25,5936.038847
2020/6/26,5438.172734
2020/6/27,5616.3373
2020/6/28,4876.179
2020/6/29,5375.4876
2020/6/30,5302.434956
2020/7/1,5761.29952
2020/7/2,6228.0176
2020/7/3,6114.8346
2020/7/4,5382.948328
2020/7/5,6137.525331
2020/7/6,8147.7396
2020/7/7,6289.37848
2020/7/8,6136.64128
2020/7/9,6295.34752
2020/7/10,5261.579431
2020/7/11,6043.911286
2020/7/12,5076.8494
2020/7/13,4298.56
2020/7/14,5278.2912
2020/7/15,6026.9216
2020/7/16,6059.4534
2020/7/17,4472.809518
2020/7/18,5434.4864
2020/7/19,6553.8144
2020/7/20,4644.9984
2020/7/21,6109.488
2020/7/22,5416.4516
2020/7/23,5914.776
2020/7/24,5816.4225
2020/7/25,6859.2888
2020/7/26,6276.1104
2020/7/27,5790.0486
2020/7/28,5736.04466
2020/7/29,6382.710166
2020/7/30,6240.36
2020/7/31,6359.661
2020/8/1,5560.2512
2020/8/2,6320.16
2020/8/3,6097.119
2020/8/4,5635.476
2020/8/5,5943.504
2020/8/6,6165.0288
2020/8/7,5443.2378
2020/8/8,5308.9344
2020/8/9,5973.1098
2020/8/10,5671.9446
2020/8/11,5921.2664
2020/8/12,5148.297
2020/8/13,4978.0038
2020/8/14,5298.581962
2020/8/15,5864.8478
2020/8/16,5609.94
2020/8/17,5075.28
2020/8/18,5479.866
2020/8/19,5507.796
2020/8/20,5447.6268
2020/8/21,5626.8576
2020/8/22,5323.2984
2020/8/23,6435.072
2020/8/24,6394.8395
2020/8/25,6542.665382
2020/8/26,6148.7895
2020/8/27,5079.1104
2020/8/28,6438.4236
2020/8/29,5589.192
2020/8/30,5416.1856
2020/8/31,6672.876
2020/9/1,5828.9245
2020/9/2,5567.4864
2020/9/3,6543.127435
2020/9/4,6442.7328
2020/9/5,5077.674
2020/9/6,6218.947
2020/9/7,6326.330455
2020/9/8,6202.2688
2020/9/9,5757.57
